Sexo;Edad;Tipo_Persona;Calidad_Juridica
Masculino;60;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO
NA;0;MORAL;VICTIMA
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;26;FISICA;VICTIMA Y DENUNCIANTE
Femenino;46;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA
Femenino;10;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;47;FISICA;OFENDIDO
NA;0;MORAL;VICTIMA
Femenino;61;FISICA;VICTIMA Y DENUNCIANTE
Masculino;75;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;31;FISICA;VICTIMA Y DENUNCIANTE
Femenino;44;FISICA;OFENDIDO
Femenino;35;FISICA;VICTIMA Y DENUNCIANTE
Masculino;25;FISICA;OFENDIDO
Femenino;57;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;1;MORAL;VICTIMA
Masculino;34;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;OFENDIDO
Masculino;47;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;23;FISICA;VICTIMA Y DENUNCIANTE
Femenino;28;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;45;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO
NA;0;MORAL;AGRAVIADO
NA;0;MORAL;OFENDIDO
Femenino;50;FISICA;VICTIMA Y DENUNCIANTE
Masculino;54;FISICA;OFENDIDO
Femenino;0;FISICA;OFENDIDO Y DENUNCIANTE
Femenino;46;FISICA;OFENDIDO
NA;0;MORAL;OFENDIDO
Masculino;0;FISICA;OFENDIDO
Masculino;28;FISICA;VICTIMA Y DENUNCIANTE
Masculino;35;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;21;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;59;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;58;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA
Masculino;1;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;41;FISICA;VICTIMA
Femenino;36;FISICA;VICTIMA Y DENUNCIANTE
Masculino;25;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO
Masculino;36;FISICA;VICTIMA Y DENUNCIANTE
Masculino;41;FISICA;OFENDIDO
Femenino;12;FISICA;VICTIMA
NA;0;MORAL;VICTIMA
NA;0;MORAL;OFENDIDO
Femenino;52;FISICA;OFENDIDO
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;64;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO
Masculino;78;FISICA;VICTIMA Y DENUNCIANTE
Femenino;50;FISICA;VICTIMA Y DENUNCIANTE
Masculino;56;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;90;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
NA;0;MORAL;VICTIMA
Femenino;46;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Femenino;60;FISICA;VICTIMA Y DENUNCIANTE
Femenino;47;FISICA;VICTIMA Y DENUNCIANTE
Femenino;57;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA
Masculino;69;FISICA;VICTIMA Y DENUNCIANTE
Femenino;52;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;39;FISICA;OFENDIDO
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;79;FISICA;VICTIMA
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;33;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO
Masculino;63;FISICA;VICTIMA Y DENUNCIANTE
Femenino;59;FISICA;VICTIMA
Masculino;26;FISICA;VICTIMA Y DENUNCIANTE
Femenino;56;FISICA;VICTIMA Y DENUNCIANTE
Femenino;43;FISICA;OFENDIDO
Masculino;52;FISICA;VICTIMA Y DENUNCIANTE
Femenino;36;FISICA;VICTIMA Y DENUNCIANTE
Femenino;34;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;49;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
NA;0;MORAL;OFENDIDO
Masculino;37;FISICA;VICTIMA Y DENUNCIANTE
Masculino;73;FISICA;VICTIMA Y DENUNCIANTE
Femenino;70;FISICA;OFENDIDO
Masculino;0;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;55;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Femenino;41;FISICA;VICTIMA Y DENUNCIANTE
Femenino;28;FISICA;VICTIMA Y DENUNCIANTE
Masculino;28;FISICA;VICTIMA Y DENUNCIANTE
Masculino;66;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;81;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;72;FISICA;VICTIMA Y DENUNCIANTE
Femenino;27;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO
Masculino;0;FISICA;OFENDIDO
Masculino;30;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;24;FISICA;VICTIMA Y DENUNCIANTE
Femenino;14;FISICA;VICTIMA
Femenino;14;FISICA;VICTIMA
Femenino;40;FISICA;VICTIMA Y DENUNCIANTE
Femenino;54;FISICA;OFENDIDO
Femenino;51;FISICA;VICTIMA Y DENUNCIANTE
Femenino;76;FISICA;VICTIMA Y DENUNCIANTE
Femenino;31;FISICA;VICTIMA Y DENUNCIANTE
Masculino;52;FISICA;OFENDIDO
NA;0;MORAL;AGRAVIADO
Masculino;0;FISICA;OFENDIDO
Masculino;29;FISICA;VICTIMA Y DENUNCIANTE
Masculino;66;FISICA;OFENDIDO
Masculino;13;FISICA;VICTIMA
Femenino;69;FISICA;VICTIMA Y DENUNCIANTE
Femenino;47;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;OFENDIDO
NA;0;MORAL;VICTIMA
Femenino;68;FISICA;OFENDIDO
Masculino;74;FISICA;VICTIMA Y DENUNCIANTE
Femenino;72;FISICA;OFENDIDO
Masculino;57;FISICA;VICTIMA Y DENUNCIANTE
Femenino;42;FISICA;VICTIMA Y DENUNCIANTE
Masculino;55;FISICA;OFENDIDO
Femenino;62;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;49;FISICA;VICTIMA Y DENUNCIANTE
Femenino;42;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO
Femenino;13;FISICA;VICTIMA
Masculino;43;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Masculino;64;FISICA;OFENDIDO
Masculino;43;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Femenino;18;FISICA;VICTIMA Y DENUNCIANTE
Masculino;55;FISICA;VICTIMA Y DENUNCIANTE
Masculino;43;FISICA;OFENDIDO
NA;0;MORAL;VICTIMA
Masculino;33;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;24;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;OFENDIDO
Masculino;44;FISICA;OFENDIDO Y DENUNCIANTE
Femenino;5;FISICA;VICTIMA
NA;0;MORAL;VICTIMA
NA;0;NA;OFENDIDO
Masculino;34;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Masculino;24;FISICA;VICTIMA Y DENUNCIANTE
Masculino;28;FISICA;VICTIMA Y DENUNCIANTE
Masculino;35;FISICA;VICTIMA Y DENUNCIANTE
Femenino;36;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;39;FISICA;VICTIMA Y DENUNCIANTE
Masculino;57;FISICA;OFENDIDO
Femenino;32;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;OFENDIDO
NA;0;MORAL;VICTIMA
Masculino;55;FISICA;OFENDIDO
NA;0;MORAL;VICTIMA
Femenino;41;FISICA;OFENDIDO
NA;0;MORAL;OFENDIDO
Femenino;42;FISICA;VICTIMA Y DENUNCIANTE
Masculino;65;FISICA;VICTIMA Y DENUNCIANTE
Femenino;47;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Femenino;52;FISICA;VICTIMA Y DENUNCIANTE
Femenino;55;FISICA;VICTIMA
Femenino;37;FISICA;VICTIMA Y DENUNCIANTE
Femenino;28;FISICA;VICTIMA Y DENUNCIANTE
Masculino;68;FISICA;VICTIMA Y DENUNCIANTE
Masculino;49;FISICA;VICTIMA Y DENUNCIANTE
Masculino;27;FISICA;OFENDIDO
Masculino;44;FISICA;VICTIMA Y DENUNCIANTE
Masculino;34;FISICA;OFENDIDO
Masculino;38;FISICA;VICTIMA Y DENUNCIANTE
Masculino;28;FISICA;VICTIMA Y DENUNCIANTE
Femenino;28;FISICA;VICTIMA Y DENUNCIANTE
Masculino;20;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Masculino;31;FISICA;VICTIMA Y DENUNCIANTE
Masculino;22;FISICA;VICTIMA Y DENUNCIANTE
Femenino;35;FISICA;VICTIMA Y DENUNCIANTE
Masculino;38;FISICA;OFENDIDO Y DENUNCIANTE
Femenino;24;FISICA;VICTIMA Y DENUNCIANTE
Femenino;51;FISICA;VICTIMA Y DENUNCIANTE
Masculino;33;FISICA;VICTIMA Y DENUNCIANTE
Masculino;47;FISICA;VICTIMA Y DENUNCIANTE
Femenino;30;FISICA;VICTIMA Y DENUNCIANTE
Femenino;57;FISICA;OFENDIDO
Femenino;24;FISICA;VICTIMA Y DENUNCIANTE
Masculino;34;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;32;FISICA;VICTIMA Y DENUNCIANTE
Masculino;54;FISICA;OFENDIDO
Femenino;29;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Femenino;22;FISICA;VICTIMA Y DENUNCIANTE
Masculino;48;FISICA;VICTIMA Y DENUNCIANTE
Femenino;44;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA
Masculino;26;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Femenino;47;FISICA;VICTIMA Y DENUNCIANTE
Masculino;52;FISICA;VICTIMA Y DENUNCIANTE
Masculino;28;FISICA;OFENDIDO
NA;0;MORAL;VICTIMA
Masculino;46;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Femenino;51;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Masculino;31;FISICA;VICTIMA Y DENUNCIANTE
Femenino;34;FISICA;VICTIMA Y DENUNCIANTE
Femenino;25;FISICA;VICTIMA Y DENUNCIANTE
Femenino;30;FISICA;VICTIMA Y DENUNCIANTE
Femenino;86;FISICA;VICTIMA Y DENUNCIANTE
Femenino;65;FISICA;VICTIMA Y DENUNCIANTE
Femenino;19;FISICA;VICTIMA Y DENUNCIANTE
Femenino;33;FISICA;VICTIMA Y DENUNCIANTE
Femenino;26;FISICA;VICTIMA Y DENUNCIANTE
Femenino;10;FISICA;VICTIMA
Masculino;40;FISICA;OFENDIDO
Masculino;30;FISICA;VICTIMA Y DENUNCIANTE
Masculino;28;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;70;FISICA;OFENDIDO Y DENUNCIANTE
Femenino;19;FISICA;VICTIMA Y DENUNCIANTE
Femenino;52;FISICA;VICTIMA Y DENUNCIANTE
Femenino;25;FISICA;VICTIMA Y DENUNCIANTE
Masculino;35;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;39;FISICA;VICTIMA Y DENUNCIANTE
Femenino;39;FISICA;VICTIMA Y DENUNCIANTE
Masculino;41;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Femenino;37;FISICA;VICTIMA Y DENUNCIANTE
Femenino;51;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;51;FISICA;VICTIMA Y DENUNCIANTE
Femenino;55;FISICA;VICTIMA Y DENUNCIANTE
Femenino;43;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;AGRAVIADO
Masculino;28;FISICA;OFENDIDO Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA
Femenino;37;FISICA;VICTIMA Y DENUNCIANTE
Masculino;58;FISICA;VICTIMA Y DENUNCIANTE
Masculino;9;FISICA;VICTIMA
Femenino;32;FISICA;VICTIMA Y DENUNCIANTE
Masculino;34;FISICA;OFENDIDO
Femenino;44;FISICA;VICTIMA Y DENUNCIANTE
Femenino;30;FISICA;VICTIMA Y DENUNCIANTE
Femenino;26;FISICA;VICTIMA Y DENUNCIANTE
Femenino;41;FISICA;VICTIMA Y DENUNCIANTE
Femenino;26;FISICA;VICTIMA Y DENUNCIANTE
Femenino;5;FISICA;VICTIMA
Femenino;28;FISICA;VICTIMA Y DENUNCIANTE
Femenino;30;FISICA;VICTIMA Y DENUNCIANTE
Femenino;30;FISICA;VICTIMA Y DENUNCIANTE
Masculino;41;FISICA;VICTIMA Y DENUNCIANTE
Masculino;25;FISICA;VICTIMA
Femenino;49;FISICA;VICTIMA Y DENUNCIANTE
Femenino;13;FISICA;VICTIMA
Masculino;43;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Femenino;49;FISICA;VICTIMA Y DENUNCIANTE
Masculino;23;FISICA;VICTIMA Y DENUNCIANTE
Masculino;34;FISICA;VICTIMA Y DENUNCIANTE
Femenino;40;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Femenino;46;FISICA;VICTIMA Y DENUNCIANTE
Femenino;50;FISICA;OFENDIDO
Femenino;57;FISICA;OFENDIDO
NA;0;MORAL;VICTIMA
Masculino;76;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;27;FISICA;VICTIMA Y DENUNCIANTE
Masculino;24;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Femenino;32;FISICA;VICTIMA Y DENUNCIANTE
Masculino;72;FISICA;VICTIMA Y DENUNCIANTE
Masculino;24;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;62;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Masculino;59;FISICA;OFENDIDO
Masculino;28;FISICA;VICTIMA Y DENUNCIANTE
Masculino;37;FISICA;OFENDIDO
Femenino;58;FISICA;VICTIMA Y DENUNCIANTE
Masculino;30;FISICA;VICTIMA Y DENUNCIANTE
Masculino;55;FISICA;VICTIMA Y DENUNCIANTE
Masculino;60;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;62;FISICA;VICTIMA Y DENUNCIANTE
Femenino;43;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;55;FISICA;VICTIMA Y DENUNCIANTE
Masculino;76;FISICA;VICTIMA Y DENUNCIANTE
Femenino;23;FISICA;VICTIMA Y DENUNCIANTE
Femenino;37;FISICA;VICTIMA Y DENUNCIANTE
Femenino;46;FISICA;VICTIMA Y DENUNCIANTE
Femenino;40;FISICA;OFENDIDO
NA;0;FISICA;AGRAVIADO
Masculino;29;FISICA;VICTIMA Y DENUNCIANTE
Femenino;29;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;46;FISICA;VICTIMA Y DENUNCIANTE
Masculino;42;FISICA;VICTIMA Y DENUNCIANTE
Masculino;24;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA
Masculino;68;FISICA;VICTIMA Y DENUNCIANTE
Femenino;26;FISICA;OFENDIDO Y DENUNCIANTE
NA;0;MORAL;VICTIMA
NA;0;MORAL;OFENDIDO
Femenino;35;FISICA;VICTIMA Y DENUNCIANTE
Masculino;24;FISICA;VICTIMA Y DENUNCIANTE
Femenino;48;FISICA;OFENDIDO Y DENUNCIANTE
Femenino;49;FISICA;VICTIMA Y DENUNCIANTE
Femenino;50;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;86;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Masculino;34;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Femenino;63;FISICA;VICTIMA
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Femenino;30;FISICA;VICTIMA Y DENUNCIANTE
Femenino;41;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;OFENDIDO
Masculino;38;FISICA;VICTIMA Y DENUNCIANTE
Masculino;34;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA Y DENUNCIANTE
Masculino;21;FISICA;VICTIMA Y DENUNCIANTE
Masculino;23;FISICA;VICTIMA Y DENUNCIANTE
Masculino;18;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;AGRAVIADO
Femenino;62;FISICA;VICTIMA Y DENUNCIANTE
Masculino;27;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;AGRAVIADO
Masculino;28;FISICA;VICTIMA Y DENUNCIANTE
Masculino;71;FISICA;OFENDIDO
Masculino;36;FISICA;VICTIMA Y DENUNCIANTE
Masculino;33;FISICA;VICTIMA
Femenino;13;FISICA;VICTIMA
Masculino;42;FISICA;VICTIMA Y DENUNCIANTE
Femenino;0;FISICA;VICTIMA
Masculino;25;FISICA;OFENDIDO Y DENUNCIANTE
Masculino;55;FISICA;VICTIMA Y DENUNCIANTE
Femenino;27;FISICA;OFENDIDO
Masculino;27;FISICA;VICTIMA
Masculino;48;FISICA;VICTIMA Y DENUNCIANTE
Femenino;44;FISICA;VICTIMA Y DENUNCIANTE
Masculino;50;FISICA;VICTIMA Y DENUNCIANTE
Masculino;42;FISICA;OFENDIDO
NA;0;MORAL;OFENDIDO
Masculino;58;FISICA;VICTIMA Y DENUNCIANTE
Femenino;43;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
Masculino;55;FISICA;VICTIMA Y DENUNCIANTE
Femenino;16;FISICA;VICTIMA
Femenino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;50;FISICA;OFENDIDO Y DENUNCIANTE
Femenino;38;FISICA;VICTIMA Y DENUNCIANTE
Masculino;56;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA
Masculino;29;FISICA;VICTIMA Y DENUNCIANTE
Masculino;0;FISICA;VICTIMA Y DENUNCIANTE
Masculino;29;FISICA;VICTIMA Y DENUNCIANTE
Masculino;39;FISICA;OFENDIDO
Masculino;33;FISICA;VICTIMA Y DENUNCIANTE
NA;0;MORAL;VICTIMA
NA;0;NA;OFENDIDO
Femenino;37;FISICA;VICTIMA Y DENUNCIANTE
Femenino;31;FISICA;VICTIMA Y DENUNCIANTE
Masculino;20;FISICA;VICTIMA Y DENUNCIANTE
